deviceTime,aCoord[x],aCoord[y],aCoord[z],gCoord[x],gCoord[y],gCoord[z],altPress,altMax,state
95115,0.14874784,0.003498974,0.986129095,0.005852092,-0.071106535,-0.184637128,0.119138774,-0.09871668,0
95122,0.150212684,0.002034131,0.989547064,0.036369671,-0.040588957,0.273126544,0.119138774,-0.09871668,0
95127,0.150700965,0.001545849,0.991011908,0.036369671,-0.040588957,0.273126544,0.119138774,-0.09871668,0
95132,0.146794715,0.002522412,0.989547064,0.097404827,-0.010071379,0.486749591,0.367512759,-0.09871668,0
95145,0.146794715,0.005452099,0.98808222,0.066887249,0.081481356,0.639337482,0.367512759,-0.09871668,0
95154,0.146794715,0.003498974,0.989547064,0.158439983,-0.071106535,0.334161701,0.367512759,-0.09871668,0
95159,0.145818153,0.004475537,0.990523626,0.127922405,-0.040588957,0.120538654,0.367512759,-0.09871668,0
95164,0.145329872,0.002522412,0.990035345,0.066887249,0.020446199,-0.184637128,0.367512759,-0.09871668,0
95169,0.145329872,0.002522412,0.989547064,0.036369671,-0.010071379,-0.367742596,0.346374568,-0.09871668,0
95183,0.147282997,0.001545849,0.990035345,0.097404827,0.020446199,-0.459295331,0.346374568,-0.09871668,0
95188,0.148259559,0.001057568,0.987105658,0.158439983,-0.010071379,-0.30670744,0.346374568,-0.09871668,0
95193,0.149236122,0.001057568,0.985640814,0.158439983,-0.010071379,-0.215154706,0.346374568,-0.09871668,0
95198,0.14874784,8.10056E-05,0.985640814,0.127922405,-0.040588957,-0.123601971,0.346374568,-0.09871668,0
95203,0.151189247,0.002522412,0.987593939,0.127922405,0.020446199,0.059503497,0.134992655,-0.09871668,0
95216,0.14874784,0.004475537,0.991500189,0.158439983,-0.040588957,0.273126544,0.134992655,-0.09871668,0
95221,0.147771278,0.004475537,0.992476751,0.219475139,-0.071106535,0.334161701,0.134992655,-0.09871668,0
95226,0.147282997,0.004475537,0.989547064,0.158439983,-0.040588957,0.212091388,0.134992655,-0.09871668,0
95248,0.147282997,0.004475537,0.993941595,0.188957561,-0.010071379,-0.520330487,0.259179171,-0.09871668,0
95261,0.147282997,0.005452099,0.98808222,-0.024665486,-0.010071379,-0.611883221,0.259179171,-0.09871668,0
