deviceTime,aCoord[x],aCoord[y],aCoord[z],gCoord[x],gCoord[y],gCoord[z],altPress,altMax,count,isOn
105081,-0.000323279,-0.997408452,-0.088805317,0.000784657,-0.011433583,0.015525012,-0.165364122,0.021445418,0,0
105086,-0.000323279,-0.997408452,-0.088805317,0.031302235,-0.011433583,0.04604259,-0.165364122,0.021445418,0,0
105091,-0.00081156,-0.995943608,-0.090758442,0.000784657,-0.102986317,-0.076027723,-0.165364122,0.021445418,0,0
105099,-0.002764685,-0.995455327,-0.088317036,0.061819813,-0.041951161,-0.045510144,-0.062315792,0.021445418,0,0
105112,-0.001788122,-0.994478764,-0.086852192,0.000784657,-0.164021474,-0.014992566,-0.062315792,0.021445418,0,0
105117,-0.001788122,-0.995943608,-0.085387349,0.092337392,-0.255574208,0.015525012,-0.062315792,0.021445418,0,0
105122,-0.002276404,-0.996431889,-0.08587563,0.000784657,-0.255574208,-0.014992566,-0.062315792,0.021445418,0,0
105127,-0.001299841,-0.996431889,-0.083434224,0.031302235,-0.22505663,0.015525012,-0.062315792,0.021445418,0,0
105132,-0.001788122,-0.99692017,-0.082945942,0.000784657,-0.194539052,0.015525012,-0.136299942,0.021445418,0,0
105146,-0.002276404,-0.997408452,-0.08587563,0.031302235,0.080119151,-0.045510144,-0.078169672,0.021445418,0,0
105160,-0.002276404,-0.995455327,-0.090270161,-0.029732921,-0.102986317,-0.076027723,-0.078169672,0.021445418,0,0
105167,0.000653284,-0.993502202,-0.089293599,-0.060250499,-0.133503896,-0.045510144,-0.078169672,0.021445418,0,0
105172,-0.001788122,-0.995455327,-0.087828755,0.000784657,-0.102986317,-0.076027723,0.233618888,0.021445418,0,0
105187,0.000653284,-0.993990483,-0.087828755,0.061819813,0.232707042,-0.014992566,0.233618888,0.021445418,0,0
105192,0.001141565,-0.995943608,-0.088317036,-0.060250499,0.080119151,-0.076027723,0.233618888,0.021445418,0,0
105197,0.001629846,-0.996431889,-0.089293599,-0.060250499,-0.041951161,-0.076027723,0.233618888,0.021445418,0,0
105202,0.00309469,-0.995943608,-0.086363911,-0.090768077,-0.133503896,-0.167580457,0.233618888,0.021445418,0,0
105207,0.002118128,-0.995455327,-0.083922505,-0.029732921,-0.072468739,-0.137062879,-0.096665232,0.021445418,0,0
105221,0.003582971,-0.995455327,-0.084410786,0.000784657,0.141154308,0.015525012,-0.096665232,0.021445418,0,0
105237,0.006024378,-0.996431889,-0.084410786,0.000784657,0.080119151,-0.045510144,-0.096665232,0.021445418,0,0
105242,0.006024378,-0.996431889,-0.08587563,0.031302235,0.080119151,-0.014992566,-0.125729412,0.021445418,0,0
