deviceTime,aCoord[x],aCoord[y],aCoord[z],gCoord[x],gCoord[y],gCoord[z],altPress,altMax,state
8163,0.086914063,0.050292969,1.329101563,-2.655029297,-0.152587891,2.899169922,-117.1689911,-117.1692657,0
8168,0.085449219,0.050292969,1.329589844,-2.655029297,-0.061035156,2.838134766,-117.1689911,-117.1692657,0
8173,0.086914063,0.051269531,1.328613281,-2.624511719,-0.152587891,2.960205078,-117.1689911,-117.1692657,0
8178,0.086914063,0.048339844,1.331054688,-2.593994141,-0.213623047,2.990722656,-117.1689911,-117.1692657,0
8183,0.088378906,0.05078125,1.329589844,-2.593994141,-0.183105469,3.051757813,-117.1689911,-117.1692657,0
8188,0.090820313,0.050292969,1.328125,-2.593994141,-0.183105469,3.021240234,-117.1689911,-117.1692657,0
8194,0.089355469,0.051269531,1.331542969,-2.563476563,-0.183105469,2.960205078,-117.1689911,-117.1692657,0
8199,0.091308594,0.052246094,1.3359375,-2.593994141,-0.152587891,2.868652344,-117.1689911,-117.1692657,0
8204,0.091308594,0.05078125,1.333496094,-2.624511719,-0.152587891,2.899169922,-117.0315933,-117.1692657,0
8221,0.092773438,0.048339844,1.332519531,-2.655029297,-0.244140625,2.9296875,-117.0315933,-117.1692657,0
8226,0.092773438,0.049804688,1.330566406,-2.685546875,-0.213623047,2.990722656,-117.0315933,-117.1692657,0
8231,0.088378906,0.048828125,1.329101563,-2.624511719,-0.122070313,2.960205078,-117.0315933,-117.1692657,0
8236,0.088378906,0.048828125,1.329101563,-2.655029297,-0.183105469,2.899169922,-117.0315933,-117.1692657,0
8249,0.087890625,0.046875,1.333007813,-2.716064453,-0.122070313,2.899169922,-117.1214294,-117.1692657,0
8263,0.084472656,0.046875,1.331054688,-2.716064453,-0.183105469,2.716064453,-117.1214294,-117.1692657,0
8268,0.085449219,0.046386719,1.330078125,-2.593994141,-0.183105469,2.685546875,-117.1214294,-117.1692657,0
8273,0.084960938,0.047363281,1.329589844,-2.563476563,-0.244140625,2.655029297,-117.1214294,-117.1692657,0
8283,0.087402344,0.048339844,1.331054688,-2.624511719,-0.244140625,2.502441406,-117.290535,-117.1692657,0
8296,0.08984375,0.05078125,1.330078125,-2.624511719,-0.274658203,2.44140625,-117.290535,-117.1692657,0
8301,0.088867188,0.049316406,1.330078125,-2.624511719,-0.244140625,2.44140625,-117.290535,-117.1692657,0
8306,0.090332031,0.050292969,1.329101563,-2.685546875,-0.244140625,2.44140625,-117.290535,-117.1692657,0
8314,0.090820313,0.050292969,1.33203125,-2.655029297,-0.213623047,2.44140625,-117.1901321,-117.1692657,0
8328,0.090332031,0.049316406,1.333007813,-2.655029297,-0.213623047,2.563476563,-117.1901321,-117.1692657,0
8333,0.089355469,0.051269531,1.331054688,-2.593994141,-0.122070313,2.563476563,-117.1901321,-117.1692657,0
8338,0.089355469,0.051269531,1.332519531,-2.593994141,-0.122070313,2.685546875,-117.1901321,-117.1692657,0
8343,0.088378906,0.048828125,1.33203125,-2.685546875,-0.213623047,2.746582031,-117.1901321,-117.1692657,0
8348,0.086914063,0.048828125,1.329589844,-2.746582031,-0.244140625,2.716064453,-117.1531372,-117.1692657,0
8363,0.0859375,0.049804688,1.329101563,-2.624511719,-0.152587891,2.9296875,-117.1531372,-117.1692657,0
8368,0.085449219,0.049804688,1.330566406,-2.624511719,-0.183105469,2.960205078,-117.1531372,-117.1692657,0
8373,0.0859375,0.049804688,1.3359375,-2.593994141,-0.122070313,3.051757813,-117.1531372,-117.1692657,0
8378,0.0859375,0.049804688,1.334472656,-2.593994141,-0.183105469,2.990722656,-117.1531372,-117.1692657,0
8383,0.086914063,0.048828125,1.330566406,-2.624511719,-0.122070313,3.021240234,-116.7409439,-117.1692657,0
8397,0.087402344,0.048828125,1.332519531,-2.716064453,-0.122070313,3.021240234,-116.7409439,-117.1692657,0
8422,0.091308594,0.046875,1.327636719,-2.532958984,-0.244140625,2.899169922,-117.3063889,-117.1692657,0
8436,0.090332031,0.049804688,1.328613281,-2.624511719,-0.122070313,2.655029297,-117.3063889,-117.1692657,0
8441,0.088867188,0.049316406,1.328613281,-2.593994141,-0.152587891,2.685546875,-117.3063889,-117.1692657,0
8446,0.088867188,0.048828125,1.33203125,-2.593994141,-0.152587891,2.716064453,-117.3063889,-117.1692657,0
8454,0.087890625,0.047363281,1.332519531,-2.685546875,-0.152587891,2.685546875,-117.2535477,-117.1692657,0
8468,0.083007813,0.049316406,1.33203125,-2.716064453,-0.122070313,2.593994141,-117.2535477,-117.1692657,0
8473,0.083984375,0.048339844,1.327148438,-2.685546875,-0.091552734,2.655029297,-117.2535477,-117.1692657,0
8478,0.085449219,0.046386719,1.330078125,-2.655029297,-0.122070313,2.593994141,-117.2535477,-117.1692657,0
8483,0.084472656,0.046386719,1.333007813,-2.624511719,-0.152587891,2.502441406,-117.2535477,-117.1692657,0
8488,0.084960938,0.049804688,1.33203125,-2.563476563,-0.122070313,2.532958984,-117.2535477,-117.1692657,0
8493,0.084960938,0.05078125,1.329101563,-2.593994141,-0.091552734,2.44140625,-117.2006989,-117.1692657,0
8507,0.08984375,0.049316406,1.329589844,-2.593994141,-0.213623047,2.410888672,-117.2006989,-117.1692657,0
8512,0.090332031,0.049804688,1.327148438,-2.593994141,-0.183105469,2.502441406,-117.2006989,-117.1692657,0
8517,0.090332031,0.051757813,1.328125,-2.593994141,-0.183105469,2.44140625,-117.2006989,-117.1692657,0
8522,0.091308594,0.052246094,1.327636719,-2.563476563,-0.213623047,2.532958984,-117.2006989,-117.1692657,0
8527,0.091796875,0.049316406,1.327636719,-2.532958984,-0.244140625,2.624511719,-117.3222427,-117.1692657,0
8545,0.091796875,0.052246094,1.333496094,-2.593994141,-0.274658203,2.838134766,-117.3222427,-117.1692657,0
8550,0.08984375,0.049804688,1.332519531,-2.624511719,-0.183105469,2.838134766,-117.3222427,-117.1692657,0
8555,0.087890625,0.048339844,1.330566406,-2.624511719,-0.183105469,2.807617188,-117.3222427,-117.1692657,0
8560,0.087402344,0.047851563,1.331542969,-2.624511719,-0.122070313,2.960205078,-117.3222427,-117.1692657,0
8574,0.085449219,0.046386719,1.333496094,-2.655029297,-0.152587891,2.960205078,-117.1108627,-117.1692657,0
8590,0.085449219,0.047363281,1.332519531,-2.532958984,-0.183105469,2.990722656,-117.1108627,-117.1692657,0
8595,0.087890625,0.046875,1.333496094,-2.593994141,-0.091552734,3.021240234,-117.1108627,-117.1692657,0
8600,0.086425781,0.048339844,1.3359375,-2.593994141,-0.122070313,3.021240234,-117.2376938,-117.1692657,0
8616,0.089355469,0.046875,1.330566406,-2.532958984,-0.091552734,2.807617188,-117.2376938,-117.1692657,0
8622,0.088378906,0.045410156,1.332519531,-2.563476563,-0.183105469,2.746582031,-117.2376938,-117.1692657,0
8627,0.090332031,0.047363281,1.330566406,-2.532958984,-0.213623047,2.746582031,-117.2376938,-117.1692657,0
8632,0.091796875,0.05078125,1.333007813,-2.502441406,-0.213623047,2.655029297,-117.2376938,-117.1692657,0
8639,0.091796875,0.049316406,1.330078125,-2.532958984,-0.183105469,2.655029297,-117.0368805,-117.1692657,0
8654,0.08984375,0.048339844,1.330566406,-2.532958984,-0.030517578,2.471923828,-117.0368805,-117.1692657,0
8659,0.088867188,0.049316406,1.332519531,-2.563476563,-0.091552734,2.502441406,-117.0368805,-117.1692657,0
8664,0.088378906,0.05078125,1.327636719,-2.593994141,-0.091552734,2.471923828,-117.0368805,-117.1692657,0
8670,0.087402344,0.049316406,1.329101563,-2.532958984,-0.091552734,2.563476563,-117.1795654,-117.1692657,0
8683,0.087402344,0.047851563,1.331542969,-2.532958984,-0.061035156,2.471923828,-117.1795654,-117.1692657,0
8688,0.084472656,0.049316406,1.33203125,-2.532958984,-0.030517578,2.471923828,-117.1795654,-117.1692657,0
8693,0.083984375,0.050292969,1.331542969,-2.532958984,-0.061035156,2.44140625,-117.1795654,-117.1692657,0
8698,0.087402344,0.050292969,1.333496094,-2.502441406,-0.122070313,2.410888672,-117.1795654,-117.1692657,0
8704,0.0859375,0.048828125,1.333984375,-2.471923828,-0.213623047,2.532958984,-117.1795654,-117.1692657,0
8709,0.087890625,0.048339844,1.336425781,-2.532958984,-0.152587891,2.563476563,-117.2112732,-117.1692657,0
8722,0.088867188,0.049804688,1.331054688,-2.563476563,-0.183105469,2.716064453,-117.2112732,-117.1692657,0
8740,0.090820313,0.051757813,1.327148438,-2.532958984,-0.213623047,2.9296875,-116.9681778,-117.1692657,0
8755,0.091796875,0.051269531,1.332519531,-2.471923828,-0.183105469,2.990722656,-116.9047699,-117.1692657,0
8769,0.088867188,0.047363281,1.333007813,-2.471923828,-0.183105469,3.021240234,-116.9047699,-117.1692657,0
8774,0.087402344,0.048339844,1.333496094,-2.624511719,-0.152587891,3.021240234,-116.9047699,-117.1692657,0
8781,0.086425781,0.047851563,1.330078125,-2.471923828,-0.183105469,2.9296875,-117.242981,-117.1692657,0
8796,0.0859375,0.046386719,1.330566406,-2.563476563,-0.152587891,2.746582031,-117.242981,-117.1692657,0
8801,0.087890625,0.047851563,1.329589844,-2.593994141,-0.183105469,2.746582031,-117.242981,-117.1692657,0
8806,0.084472656,0.049316406,1.331054688,-2.563476563,-0.183105469,2.746582031,-117.242981,-117.1692657,0
8811,0.085449219,0.046875,1.331054688,-2.532958984,-0.244140625,2.716064453,-117.242981,-117.1692657,0
8816,0.083984375,0.047851563,1.332519531,-2.563476563,-0.183105469,2.655029297,-117.290535,-117.1692657,0
8829,0.086914063,0.048828125,1.332519531,-2.532958984,-0.183105469,2.624511719,-117.290535,-117.1692657,0
8835,0.088378906,0.050292969,1.333984375,-2.532958984,-0.213623047,2.624511719,-117.290535,-117.1692657,0
8843,0.091796875,0.048339844,1.333984375,-2.563476563,-0.122070313,2.563476563,-117.290535,-117.1692657,0
8848,0.092285156,0.049316406,1.333007813,-2.563476563,-0.122070313,2.502441406,-117.5177765,-117.1692657,0
8861,0.090820313,0.052246094,1.331542969,-2.502441406,-0.122070313,2.471923828,-117.5177765,-117.1692657,0
8866,0.091796875,0.051269531,1.330078125,-2.471923828,-0.122070313,2.44140625,-117.5177765,-117.1692657,0
8871,0.08984375,0.049316406,1.331542969,-2.563476563,-0.152587891,2.410888672,-117.5177765,-117.1692657,0
8877,0.087402344,0.048828125,1.331542969,-2.532958984,-0.091552734,2.410888672,-117.5177765,-117.1692657,0
8882,0.088378906,0.05078125,1.328613281,-2.593994141,-0.091552734,2.44140625,-117.5177765,-117.1692657,0
8887,0.086914063,0.051269531,1.331542969,-2.624511719,-0.152587891,2.532958984,-117.2694016,-117.1692657,0
8914,0.089355469,0.05078125,1.331054688,-2.563476563,-0.183105469,2.716064453,-117.2694016,-117.1692657,0
8920,0.087890625,0.051757813,1.331054688,-2.593994141,-0.122070313,2.777099609,-117.3803787,-117.1692657,0
8933,0.087890625,0.052246094,1.331542969,-2.532958984,-0.244140625,2.960205078,-117.2482605,-117.1692657,0
8947,0.08984375,0.050292969,1.329589844,-2.502441406,-0.213623047,3.112792969,-117.2482605,-117.1692657,0
8957,0.092285156,0.05078125,1.333984375,-2.532958984,-0.122070313,3.051757813,-117.3328171,-117.1692657,0
