deviceTime,aCoord[x],aCoord[y],aCoord[z],gCoord[x]Mod,gCoord[y]Mod,gCoord[z]Mod,aAbsMod,altPressMod,altMaxMod,count,isOn
49312,0.050292969,-0.989746094,0.016601563,0.002332553,0.075613617,0.062395813,0.999513995,-0.23371552,-0.05614899,0,0
49327,0.047851563,-0.993652344,0.016113281,0.002332553,-0.076974273,0.092913391,1.003318038,0.06750442,-0.05614899,0,0
49333,0.046875,-0.989257813,0.020507813,0.093885288,-0.107491852,0.031878234,0.998927043,0.06750442,-0.05614899,0,0
49338,0.046386719,-0.989746094,0.021972656,0.06336771,-0.076974273,0.001360656,0.999427272,0.06750442,-0.05614899,0,0
49342,0.049804688,-0.993164063,0.021972656,0.002332553,-0.046456695,0.031878234,1.003036112,0.06750442,-0.05614899,0,0
49347,0.052246094,-0.98828125,0.022949219,-0.028185025,0.045096039,0.031878234,0.998268828,0.06750442,-0.05614899,0,0
49351,0.051757813,-0.993652344,0.024414063,0.032850132,-0.015939117,0.031878234,1.003685644,0.06750442,-0.05614899,0,0
49356,0.051757813,-0.993652344,0.024414063,-0.028185025,-0.076974273,0.031878234,1.003685644,0.06750442,-0.05614899,0,0
49362,0.052246094,-0.990234375,0.021484375,-0.028185025,-0.107491852,-0.090192078,1.000202055,0.07807113,-0.05614899,0,0
49369,0.049316406,-0.9921875,0.020996094,-0.058702603,-0.076974273,0.001360656,1.002006946,0.07807113,-0.05614899,0,0
49373,0.046875,-0.991210938,0.019042969,-0.028185025,-0.107491852,0.001360656,1.00086457,0.07807113,-0.05614899,0,0
49378,0.044433594,-0.985839844,0.014160156,0.002332553,-0.015939117,-0.029156922,0.995258603,0.07807113,-0.05614899,0,0
49393,0.044921875,-0.992675781,0.018066406,0.093885288,-0.107491852,0.062395813,1.002230499,0.07807113,-0.05614899,0,0
49397,0.046386719,-0.9921875,0.019042969,0.06336771,-0.13800943,0.031878234,1.00182497,0.00673248,-0.05614899,0,0
49404,0.046875,-0.991210938,0.025878906,0.154920444,-0.13800943,0.001360656,1.001020563,0.00673248,-0.05614899,0,0
49409,0.047851563,-0.992675781,0.025878906,0.154920444,-0.107491852,-0.181744812,1.002542519,0.00673248,-0.05614899,0,0
49414,0.046875,-0.9921875,0.028808594,0.06336771,-0.046456695,-0.029156922,1.002085219,0.00673248,-0.05614899,0,0
49418,0.048828125,-0.990722656,0.025390625,0.032850132,-0.046456695,0.123430969,1.00061115,0.00673248,-0.05614899,0,0
49423,0.046875,-0.991210938,0.023925781,-0.058702603,0.014578461,0.092913391,1.000971151,0.00673248,-0.05614899,0,0
49427,0.047363281,-0.993164063,0.024414063,-0.089220181,0.075613617,0.092913391,1.002973263,0.00673248,-0.05614899,0,0
49432,0.047851563,-0.98828125,0.021484375,-0.089220181,0.014578461,0.092913391,0.998011592,0.257751,-0.05614899,0,0
49438,0.047851563,-0.990234375,0.014648438,-0.058702603,0.045096039,-0.029156922,0.99985281,0.257751,-0.05614899,0,0
49442,0.043945313,-0.992675781,0.013671875,0.032850132,-0.076974273,-0.0596745,1.002115704,0.257751,-0.05614899,0,0
49454,0.046875,-0.987304688,0.01171875,-0.028185025,0.014578461,-0.029156922,0.996815628,0.257751,-0.05614899,0,0
49459,0.047363281,-0.989746094,0.018554688,0.093885288,-0.076974273,-0.090192078,0.999403377,0.257751,-0.05614899,0,0
49463,0.044921875,-0.991210938,0.018554688,0.032850132,-0.076974273,-0.151227234,1.000764155,0.257751,-0.05614899,0,0
49468,0.046875,-0.989746094,0.01953125,0.002332553,0.014578461,-0.090192078,0.999398889,-0.01176499,-0.05614899,0,0
49474,0.049804688,-0.987792969,0.017089844,0.002332553,0.106131195,-0.029156922,0.997530705,-0.01176499,-0.05614899,0,0
49479,0.047363281,-0.987792969,0.023925781,0.002332553,0.075613617,0.001360656,0.997552701,-0.01176499,-0.05614899,0,0
