deviceTime,aCoord[x],aCoord[y],aCoord[z],gCoord[x],gCoord[y],gCoord[z],altPress,altMax,count,isOn
7741,-0.017578125,0.040039063,1.198730469,-0.091552734,-1.159667969,13.76342773,175.8829651,176.0705566,0,1
7746,-0.012695313,0.041503906,1.197753906,-0.091552734,-1.220703125,12.84790039,175.8829651,176.0705566,0,1
7751,-0.010742188,0.041503906,1.1953125,-0.030517578,-1.312255859,11.65771484,175.8829651,176.0705566,0,1
7772,-0.030273438,0.045898438,1.197753906,-0.030517578,-1.617431641,8.636474609,175.8433228,176.0705566,0,1
7777,-0.037597656,0.044921875,1.193847656,-0.152587891,-1.708984375,8.209228516,175.8433228,176.0705566,0,1
7782,-0.040527344,0.043945313,1.194335938,-0.183105469,-1.770019531,8.087158203,175.8433228,176.0705566,0,1
7787,-0.03125,0.030761719,1.196777344,-0.183105469,-2.105712891,8.087158203,175.8433228,176.0705566,0,1
7794,-0.038085938,0.032714844,1.196289063,-0.213623047,-2.44140625,8.239746094,175.8433228,176.0705566,0,1
7799,-0.030273438,0.029296875,1.201171875,-0.152587891,-2.655029297,7.934570313,175.8935242,176.0705566,0,1
7804,-0.0234375,0.031738281,1.197265625,-0.183105469,-2.960205078,7.873535156,175.8935242,176.0705566,0,1
7809,-0.0234375,0.031738281,1.197265625,-0.244140625,-3.173828125,7.598876953,175.8935242,176.0705566,0,1
7817,-0.001953125,0.026855469,1.199707031,-0.183105469,-3.265380859,6.927490234,175.8935242,176.0705566,0,1
7822,0.012207031,0.021484375,1.19921875,-0.152587891,-3.234863281,6.286621094,175.8935242,176.0705566,0,1
7827,0.0234375,0.017578125,1.196777344,-0.030517578,-3.204345703,5.676269531,175.8935242,176.0705566,0,1
7832,0.021484375,0.020019531,1.198730469,0.091552734,-2.990722656,5.187988281,175.8935242,176.0705566,0,1
7837,0.017578125,0.024414063,1.194335938,0.183105469,-2.777099609,5.065917969,175.8671112,176.0705566,0,1
7842,0.010742188,0.030761719,1.197753906,0.274658203,-2.716064453,5.187988281,175.8671112,176.0705566,0,1
7847,0.006835938,0.032714844,1.198730469,0.427246094,-2.624511719,5.554199219,175.8671112,176.0705566,0,1
7852,-0.002441406,0.038085938,1.196777344,0.396728516,-2.563476563,6.103515625,175.8671112,176.0705566,0,1
7858,-0.010742188,0.041992188,1.194824219,0.366210938,-2.624511719,6.652832031,175.8671112,176.0705566,0,1
7863,-0.020507813,0.046386719,1.196777344,0.427246094,-2.655029297,7.263183594,175.8671112,176.0705566,0,1
7868,-0.024902344,0.049316406,1.194824219,0.366210938,-2.746582031,7.8125,175.8671112,176.0705566,0,1
