deviceTime,axmod,aymod,azmod,gxmod,gymod,gzmod,apmod,aMmod,count,isOn
17912,0.08766871,0.004529955,0.998086317,-0.149025528,0.145463165,0.049873085,0.287885328,0.364514968,0,1
17917,0.086692147,0.001600268,0.997109754,-0.118507949,0.114945586,0.049873085,0.287885328,0.364514968,0,1
17922,0.088645272,0.000623705,0.996133192,-0.087990371,0.05391043,0.110908241,0.237683908,0.364514968,0,1
17945,0.089621835,0.000135424,0.999062879,0.003562363,-0.007124726,0.110908241,0.237683908,0.364514968,0,1
17950,0.090110116,-0.000841138,0.997109754,-0.057472793,-0.037642304,0.110908241,0.237683908,0.364514968,0,1
17955,0.088645272,-0.001817701,0.996133192,-0.087990371,-0.007124726,-0.011162071,0.237683908,0.364514968,0,1
17960,0.08766871,-0.000352857,0.994180067,-0.026955215,0.05391043,-0.072197228,0.237683908,0.364514968,0,1
17968,0.088645272,0.000623705,0.994668348,0.034079941,0.023392852,-0.072197228,0.237683908,0.364514968,0,1
17973,0.087180429,-0.00132942,0.992226942,-0.057472793,-0.007124726,-0.041679649,0.237683908,0.364514968,0,1
17978,0.08766871,0.000623705,0.995644911,-0.087990371,0.023392852,-0.072197228,0.237683908,0.364514968,0,1
17983,0.088645272,0.000623705,0.995156629,-0.026955215,-0.037642304,-0.011162071,0.237683908,0.364514968,0,1
17988,0.090110116,-0.000352857,0.993203504,-0.026955215,0.023392852,-0.011162071,0.237683908,0.364514968,0,1
17993,0.088156991,-0.00132942,0.993691786,-0.026955215,0.05391043,-0.072197228,-0.153368332,0.364514968,0,1
17998,0.088156991,-0.000841138,0.995644911,-0.026955215,0.114945586,-0.011162071,-0.153368332,0.364514968,0,1
18003,0.08766871,-0.000841138,0.996133192,-0.026955215,-0.007124726,-0.163749962,-0.153368332,0.364514968,0,1
18012,0.089621835,-0.002305982,0.994668348,0.003562363,0.084428008,-0.011162071,-0.153368332,0.364514968,0,1
18017,0.088645272,-0.002305982,0.995156629,0.064597519,0.05391043,-0.011162071,-0.153368332,0.364514968,0,1
18022,0.089133554,0.000623705,0.995156629,0.095115098,-0.037642304,0.049873085,-0.153368332,0.364514968,0,1
18027,0.089133554,-0.000841138,0.996621473,0.125632676,-0.007124726,0.080390663,-0.002764082,0.364514968,0,1
18032,0.089621835,-0.000352857,0.995156629,0.064597519,-0.007124726,-0.072197228,0.121427198,0.364514968,0,1
18037,0.088645272,0.001600268,0.999062879,0.156150254,-0.007124726,-0.041679649,0.121427198,0.364514968,0,1
18042,0.088156991,0.001111987,0.998086317,0.095115098,-0.068159882,0.049873085,0.121427198,0.364514968,0,1
18048,0.085715585,0.00257683,0.997109754,0.186667832,-0.037642304,-0.011162071,0.121427198,0.364514968,0,1
18070,0.087180429,0.001600268,0.994180067,0.156150254,0.023392852,-0.011162071,-0.002764082,0.364514968,0,1
18075,0.086203866,0.004041674,0.996621473,0.064597519,0.05391043,0.049873085,-0.002764082,0.364514968,0,1
18080,0.08766871,0.00257683,0.994180067,0.064597519,0.023392852,-0.041679649,-0.002764082,0.364514968,0,1
18085,0.088156991,0.00257683,0.995156629,0.064597519,0.145463165,0.019355507,-0.002764082,0.364514968,0,1
18093,0.088156991,0.00257683,0.998086317,0.064597519,0.114945586,-0.011162071,-0.002764082,0.364514968,0,1
18098,0.08766871,0.003553393,0.998086317,0.125632676,-0.007124726,0.019355507,-0.002764082,0.364514968,0,1
18103,0.087180429,0.001600268,0.998574598,0.125632676,0.023392852,0.049873085,-0.092600202,0.364514968,0,1
18108,0.090598397,0.00257683,0.995156629,0.125632676,0.023392852,0.080390663,-0.092600202,0.364514968,0,1
18113,0.08766871,0.003065112,0.996133192,0.064597519,0.05391043,0.080390663,-0.092600202,0.364514968,0,1
18118,0.088645272,0.003065112,0.994668348,0.034079941,-0.007124726,0.080390663,-0.092600202,0.364514968,0,1
18123,0.088156991,0.00257683,0.995644911,-0.026955215,-0.037642304,-0.011162071,-0.092600202,0.364514968,0,1
18128,0.086692147,0.003553393,0.999062879,-0.026955215,-0.129195039,-0.072197228,-0.092600202,0.364514968,0,1
18136,0.087180429,0.004529955,0.997109754,-0.057472793,0.023392852,-0.072197228,0.116140028,0.364514968,0,1
18141,0.086692147,0.005506518,0.997109754,-0.026955215,0.084428008,-0.041679649,0.116140028,0.364514968,0,1
18146,0.086692147,0.005506518,0.997109754,-0.026955215,0.084428008,0.080390663,0.116140028,0.364514968,0,1
